name,phone,website,address,rating,reviews,city,category,email
Градска градина,,,", 8500 Айтос",,,Айтос,кварталник,
Melonia Aytos,,,", Провадийско шосе, 8500 Айтос",,,Айтос,drink shop,
Месарница “При Ели”,,,", Център, 8500 Айтос",,,Айтос,drink shop,
"""КООП""ул.Гарова 14 Айтос",,,", Център, Гарова, 8500 Айтос",,,Айтос,alcohol shop,
Аделина ООД,,,", Център, Таньо Мангъров 28, 8500 Айтос",,,Айтос,drink shop,
Стефанови оод,,,", Център, ул. Георги Бенковски 15, 8500 Айтос",,,Айтос,alcohol shop,
Миро-Мийт,,,", Център, ул. Москва 23, 8500 Айтос",,,Айтос,drink shop,
Зеленчуков пазар,,,", Център, ул. „Богориди"" 9, 8500 Айтос",,,Айтос,drink shop,
А,,,", Център, ул. „Генерал Гурко“ 8, 8500 Айтос",,,Айтос,drink shop,
Маркет Сарай,,,", Център, ул. „Георги Кондолов“ 7, 8500 Айтос",,,Айтос,drink shop,
"Магазин за хранителни стоки ""Лебед """,,,", Център, ул. „Иван Екзарх“ 11, 8500 Айтос",,,Айтос,drink shop,
Кокала 4,,,", Център, ул. „Лъджанска“ 3, 8500 Айтос",,,Айтос,цигари и алкохол,
Петрови Трейд ЕООД,,,", Център, ул. „Николай Велков“ 7, 8500 Айтос",,,Айтос,drink shop,
"Етнографския комплекс ""Генгер""",,,", Център, ул. „Паркова“ 60, 8500 Айтос",,,Айтос,кварталник,
Механа Воденицата,,,", Център, ул. „Паркова“ 60, 8500 Айтос",,,Айтос,пивница,
Десий ЕООД,,http://desiybg.com/,", Център, ул. „Ради Боруков“ 16, 8500 Айтос",,,Айтос,drink shop,
Супермаркет „Рафи“,,,", Център, ул. „Славянска“, 8500 Айтос",,,Айтос,денонощен магазин,
Магазин Драките,,,", Център, ул. „Станционна“ 55, 8500 Айтос",,,Айтос,drink shop,
Баничарница “Матев”,,,", Център, ул. „Станционна“ 7, 8500 Айтос",,,Айтос,drink shop,
Хр.магазин дървеното,,,", Център, ул. „Станционна“ 72, 8500 Айтос",,,Айтос,денонощен магазин,
Пекарна Коки,,,", Център, ул. „Хаджи Димитър“ 22, 8500 Айтос",,,Айтос,drink shop,
Съни Маркет - гр. Айтос,,http://sunnymarket.bg/,", Център, ул. „Хр. Ботев“ 17, 8500 Айтос",,,Айтос,денонощен магазин,
Магазин Детски Облекла,,,", Център, ул. „Хр. Ботев“ 18, 8500 Айтос",,,Айтос,нощен магазин,
"Магазин ""ЕВРОПА""",,,", Център, ул. „Хр. Ботев“ 8, 8500 Айтос",,,Айтос,drink shop,
Ал-сат,,,", Център, ул. „Чудни скали“ 16, 8500 Айтос",,,Айтос,drink shop,
Whiskey shop Asenovgrad,,,", 1A Oborishte Str, 4230 Асеновград",,,Асеновград,магазин цигари,
ERAS coffee and brunch,,,", Център, 4230 Асеновград",,,Асеновград,магазин алкохол,
Кво ши прайм,,,", Център, 4230 Асеновград",,,Асеновград,пивница,
"Търговски център ""АСЕНОВЕЦ""",,,", Център, 4230 Асеновград",,,Асеновград,магазин алкохол,
Родопски баници/bakery,,,", Център, бул. „България“, 4230 Асеновград",,,Асеновград,drink shop,
Пъпа,,,", Център, пл. „Академик Николай Хайтов“ 12, 4230 Асеновград",,,Асеновград,alcohol shop,
Orange Vape магазин за електронни цигари,,,", Център, пл. „Академик Николай Хайтов“ 3, 4230 Асеновград",,,Асеновград,магазин цигари,
TRIO COFFEE,,,", Център, пл. „Академик Николай Хайтов“ 3, 4230 Асеновград",,,Асеновград,магазин алкохол,
Makabi,,https://www.facebook.com/Bar-Makabi-176204703034660/,", Център, ул. Илинден 17, 4230 Асеновград",,,Асеновград,магазин алкохол,
Supermarket 24/7,,,", Център, ул. Цар Иван Асен II 114Б, 4231 Асеновград",,,Асеновград,alcohol shop,
Шанс,,,", Център, ул. Цар Иван Асен II 70, 4230 Асеновград",,,Асеновград,магазин алкохол,
"203.5 F Art Cafe, Asenovgrad",,http://www.2035f-artcafe.com/,", Център, ул. „3-ти март“ 12, 4230 Асеновград",,,Асеновград,магазин алкохол,
