name,phone,website,address,rating,reviews,city,category,email
Аванти,,http://avanti-bg.com/,", София център, бул. „Васил Левски“ 60, 1142 София",,,София,магазин алкохол,
Денонощен магазин Alcohol & Tabakoff,,http://www.alcoholtabakoff.com/,", София център, ул. „Граф Игнатиев“ 78, 1142 София",,,София,магазин алкохол,client@tabacoshops.net
Tobacco and Drinks 24/7,,,", София център, ул. „Георги С. Раковски“ 140, 1000 София",,,София,магазин алкохол,
АЛКОХОЛАНДИЯ,0899111386,http://www.alkoholandia.com/,", София център, бул. „Христо Ботев“ 56, 1000 София",,,София,магазин алкохол,
Premium Alcohol & Tabacco,0876444767,,", София център, ул. „Георги С. Раковски“ 112, 1000 София",,,София,магазин алкохол,
"Магазин 24/7 - алкохол, цигари и храни",0888376416,,", 1000 Ул.Христо Белчев 50 на ъгъла с Патриарх Евтимий Срещу, Ндк, София",,,София,магазин алкохол,
Магазин Alcohol & Tabakoff,,https://alcoholtabakoff.com/,", София център, ул. „Любен Каравелов“ 21, 1142 София",,,София,магазин алкохол,client@tabacoshops.net
аванти славянска,,http://avanti-bg.com/,", София център, ул. „Славянска“ 22, 1000 София",,,София,магазин алкохол,
Dissident Beer Shop,0887745876,https://www.dissident.shop/,", София център, ул. „6-ти септември“ №36, 1142 София",,,София,магазин алкохол,
Pivoteka Craft Beer shop,0895981230,http://pivoteka.bg/,", София център, ул. „Любен Каравелов“ 53, 1142 София",,,София,магазин алкохол,order@pivoteka.bg
100 Beers,0879864667,http://100beers.bg/,", София център, ул. „Юрий Венелин“ 1, 1000 София",,,София,магазин алкохол,
"Магазин за Алкохол, Цигари и Кафе",,,", Old City Center, ул. „Ген. Гурко"" 50, 1000 София",,,София,магазин алкохол,
Денонощен магазин за алкохол и цигари София,0877223769,,", София център, бул. „Цар Освободител“ 12, 1000 София",,,София,магазин алкохол,
CITY DRINKS Alcohol and Tobacco,0894888857,,", Doctor's Garden, ул. „Шейново“ 8, 1504 София",,,София,магазин алкохол,
Tabacchi Corner/Easy Pay Каса,0895314432,,", София център, ул. „Любен Каравелов“ 1, 1142 София",,,София,магазин алкохол,
2002 BEERS,0877351001,,", София център, ул. „Професор Фритьоф Нансен“ 25-Б, 1142 София",,,София,магазин алкохол,
ExtraVirgin.BG - магазин за зехтин,0882268693,https://extravirgin.bg/,", ж.к. Лозенец, бул. „Христо Смирненски“ 20, 1164 София",,,София,магазин алкохол,noindiano@extravirgin.bg
