name,phone,website,address,rating,reviews,city,category,email
кв. Витоша,,,,,,София,кварталник,
Нон стоп,,,", Редута, София",,,София,нон стоп магазин,
Alcohol&Tabakoff Dondukov 91-93,,https://alcoholtabakoff.com/,", София център, бул. „Княз Александър Дондуков"" №91, 93 София",,,София,магазин алкохол,client@tabacoshops.net
IQOS Партньор,,http://bg.iqos.com/,", София, ул. Г.С.Раковски 157, ет. 2",,,София,tobacco shop,
Tobacco & Drinks,,,", София, ул. Г.С.Раковски 157, ет. 2",,,София,tobacco shop,
Дионис,,,", 10 Tsar Kaloyan street, 1000 София",,,София,tobacco shop,
Kiosco la Bombonera,,,", Aguilares santa bárbara Barrio, ampliación, 1000 София",,,София,смесен магазин,
Шивашки материали на едро,,,", Old City Center, бул. „Стефан Стамболов“ 16, 1000 София",,,София,смесен магазин,
"Магазин за Алкохол, Цигари и Кафе",,,", Old City Center, ул. „Ген. Гурко"" 50, 1000 София",,,София,магазин алкохол,
The SPOT - Coffee & Tobacco,,,", Pette Kyosheta, бул. „Тодор Александров“ 18, 1000 София",,,София,tobacco shop,
"Магазин Цигари, Алкохол, Кафе - КАФЕТЕРИЯ 2016",,https://www.facebook.com/profile.php?id=61556665329152,", Pette Kyosheta, ул. „Софроний Врачански“ 1, 1000 София",,,София,цигари и алкохол,
"кафе, цигари, алкохол ""Дървеното магазинче""",,,", Ж.к Сухата река блок 29 вх А Партер, ул. „Александър Екзарх“, 1000 София",,,София,хранителен магазин цигари,
Бакалия Детелина,,,", София център, бул. „Александър Стамболийски“ 20, 1000 София",,,София,денонощен магазин,
24 non stop,,,", София център, бул. „Витоша“ 11, 1000 София",,,София,нон стоп магазин,
Tabacco and drinks,,,", София център, бул. „Витоша“ 3, 1000 София",,,София,нон стоп магазин,
Алкохол и Табако,,,", София център, бул. „Витоша“ 69, 1000 София",,,София,tobacco shop,
Non-Stop My Shop - Alcohol & Tobacco 2,,https://instagram.com/my.shop.alcohol.and.tobacco?igshid=MzRlODBiNWFlZA==,", София център, бул. „Княгиня Мария Луиза“ 21, 1000 София",,,София,нон стоп магазин,
"Магазин за цигари, пица и суши",,,", София център, бул. „Княгиня Мария Луиза“ 70, 1000 София",,,София,хранителен магазин цигари,
Lime Premium Tobacco,,,", София център, бул. „Княгиня Мария Луиза“ 9-11, 1000 София",,,София,магазин алкохол,
"NG кафе, цигари, алкохол",,,", София център, бул. „Княз Александър Дондуков"" 34, 1000 София",,,София,цигари и алкохол,
"Магазин алкохол, цигари, захарни изделия",,,", София център, бул. „Христо Ботев“ 34, 1000 София",,,София,цигари и алкохол,
olx.bg,,http://www.olx.bg/,", София център, ул. ,,Ангел Кънчев"" 1, ет. 3, 1000, 1000 София",,,София,хранителен магазин цигари,
La Lupi – 24/7 Drinks & Tobacco,,,", София център, ул. „Алабин И. Вл.“ 13, 1000 София",,,София,tobacco shop,
Axel Day & Night (Аксел Дей енд Найт),,,", София център, ул. „Алабин И. Вл.“ 31, 1000 София",,,София,tobacco shop,
Хранителен Магазин Денонощен,,,", София център, ул. „Алабин И. Вл.“ 32, 1000 София",,,София,денонощен магазин,
Non Stop Tabacco & Drinks - Алкохол и Цигари в центъра на София ( Premium Candy Shop ),,https://premiumcandybox.bg/,", София център, ул. „Алабин И. Вл.“ 54, 1000 София",,,София,цигари и алкохол,hello@premiumcandybox.bg
AllDays tobacco drinks coffee,,,", София център, ул. „Веслец“ 2, 1000 София",,,София,tobacco shop,
Beach Bar,,,", София център, ул. „Георги С. Раковски“ 106, 1000 София",,,София,бар и цигари,
Tobacco and Drinks,,,", София център, ул. „Георги С. Раковски“ 135, 1000 София",,,София,магазин алкохол,
Tobacco and Drinks 24/7,,,", София център, ул. „Георги С. Раковски“ 140, 1000 София",,,София,магазин алкохол,
Minimart,,https://mini-mart.bg/,", София център, ул. „Георги С. Раковски“ 29, 1000 София",,,София,хранителен магазин цигари,
NoN Stop PINK Flamingo,,,", София център, ул. „Граф Игнатиев“ 2, 1000 София",,,София,нон стоп магазин,
Magazina na fotilasa,,,", София център, ул. „Граф Игнатиев“ 36, 1000 София",,,София,смесен магазин,
Империал Гастрохъб,,https://www.facebook.com/ImperialGastrohub,", София център, ул. „Дякон Игнатий“ 21, 1000 София",,,София,нощен магазин,
Тезоро и Хиония - Алкохол & Бонбони & Офис стоки,,,", София център, ул. „Княз Борис I“ 122, 1000 София",,,София,ликьор магазин,
Дъ кофи шоп,,,", София център, ул. „Лавеле“ 18А, 1000 София",,,София,tobacco shop,
аванти славянска,,http://avanti-bg.com/,", София център, ул. „Славянска“ 22, 1000 София",,,София,магазин алкохол,
Tobacco Best Shop,,,", София център, ул. „Солунска“ 18, 1000 София",,,София,tobacco shop,
Киоск Палето,,,", София център, ул. „Солунска“ 23, 1000 София",,,София,alcohol shop,
Клуб Асайлъм,,https://asylumsofia.com/,", София център, ул. „Христо Белчев“ 1, 1000 София",,,София,нощен магазин,
Bella Vista Alabin,,,", София център, ул. „Цар Асен“ 2, 1000 София",,,София,alcohol shop,
Кафе Фреш Алкохол Цигари,,,", София център, ул. „Цар Асен“ 3, 1000 София",,,София,цигари и алкохол,
Магазин за алкохол и цигари,,,", София център, ул. „Цар Асен“ 3, 1000 София",,,София,магазин алкохол,
Тютюни за Наргиле,,,", София център, ул. „Цар Симеон“ 65, 1000 София",,,София,тютюн магазин,
Централни Хали,,https://sofia-hali.bg/,", Централни софийски хали, София център, бул. „Княгиня Мария Луиза“ 25, ниво -1, 1000 София",,,София,alcohol shop,
Магазин за алкохол и тюневи изделия,,,", бул. „България“ 106 магазин 1, 1000 София",,,София,ликьор магазин,
Магазин за Алкохол и Цигари Ballantines,,,", ж.к. Лозенец, ул. „Златовръх“ No.38А, 1000 София",,,София,магазин алкохол,
Парфюм БГ (ВАЯ 911 ЕООД),,https://parfium.bg/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,", партер, ул. „Иван Вазов“ 22, 1000 София",,,София,tobacco shop,
Рошко ДЕНОНОЩЕН павилион за цигари и алкохол,,https://www.facebook.com/profile.php?id=100073409345695&locale=bg_BG,", ж.к. Люлин 1, ул. „проф. д-р Александър Станишев“ 1027, 1343 София",,,София,хранителен магазин цигари,
Магазин 345,,https://magazin345.bg/,", 1111, ул. „Хемус“ 2, 1111 София",,,София,денонощен магазин,m345@techno-link.com
The White Store Гео Милев,,https://thewhitestore.bg/,", Гео Милев, бул. „Шипченски проход“ 23Б, 1111 София",,,София,нощен магазин,
Алкохол,,,", Пазар ""Ситняково, 1111 София",,,София,магазин алкохол,
Магазин за алкохол и цигари / Alcohol and tobacco store,,,", Гео Милев, ул. „Цветан Радославов“ 6, 1113 София",,,София,цигари и алкохол,
Relay,,,", ж.к. Изток, 1113 София",,,София,смесен магазин,
The White Store Изток,,https://thewhitestore.bg/,", ж.к. Изток, ул. „Тарас Шевченко“ 5А, 1113 София",,,София,тютюн магазин,
"Алкохол, цигари и захарни изделия",,,", ж.к. Изток, ул. „Фредерик Жолио Кюри“ 14, 1113 София",,,София,ликьор магазин,
Beer Shop Бирен Рай,,,", ж.к. Яворов, ул. „Цар Иван Асен II“ 52, 1124 София",,,София,бира магазин,
Wine and Food,,https://www.facebook.com/foodwineshop/,", ж.к. Яворов, ул. „Цар Иван Асен II“ 62, 1124 София",,,София,alcohol shop,
Alcohol and Tobacco,,,", Old City Center, ул. „Георги С. Раковски“ 191a, 1142 София",,,София,tobacco shop,
Аванти,,http://avanti-bg.com/,", София център, бул. „Васил Левски“ 60, 1142 София",,,София,магазин алкохол,
Зарзаватчийница,,,", София център, бул. „Васил Левски“ 76, 1142 София",,,София,drink shop,
Денонощен Магазин/NonStop 24/7 - Alcohol & Tobacco,,,", София център, бул. „Васил Левски“ N30, 1142 София",,,София,денонощен магазин,
КАК ТАКА?,,https://www.facebook.com/kaktaka23,", София център, бул. „Евлоги и Христо Георгиеви“ 85, 1142 София",,,София,drink shop,
Цигари и алкохол Non Stop,,,", София център, бул. „Патриарх Евтимий“ 12, 1142 София",,,София,магазин алкохол,
Two Sisters Shop - Alcohol and Tobacco КАПАЦИНОВА,,,", София център, ул. „Георги С. Раковски“ 191, 1142 София",,,София,tobacco shop,
Денонощен магазин Alcohol & Tabakoff,,http://www.alcoholtabakoff.com/,", София център, ул. „Граф Игнатиев“ 78, 1142 София",,,София,магазин алкохол,client@tabacoshops.net
Магазин Alcohol & Tabakoff,,https://alcoholtabakoff.com/,", София център, ул. „Любен Каравелов“ 21, 1142 София",,,София,магазин алкохол,client@tabacoshops.net
Магазин за хранителни стоки,,,", София център, ул. „Любен Каравелов“ 35, 1142 София",,,София,drink shop,
"Pri Kalin coffee & tobacco,beer, wine",,,", София център, ул. „Професор Фритьоф Нансен“ 17, 1142 София",,,София,tobacco shop,
Спирка 18,,,", ж.к. Яворов, бул. „Евлоги и Христо Георгиеви“ 40, 1142 София",,,София,tobacco shop,
МГ-0609,,,", Площад Журналист, ж.к. Лозенец, ул. „Елин Пелин“ 33, 1164 София",,,София,drink shop,
café Ma Baker,,http://www.mabaker.bg/,", ж.к. Лозенец, бул. „Христо Смирненски“ 36, 1164 София",,,София,нон стоп магазин,
Caffè-bar Shatorov / Кафe-бар Шаторов,,,", ж.к. Лозенец, ул. „арх. Йордан Миланов“ 3, 1164 София",,,София,нощен магазин,
Mагазин за алкохол и цигари Street Bar Dianabad,,,", ж.к. Дианабад, 33Б, 1172 София",,,София,цигари и алкохол,
Sofia Electric Brewing,,https://sofiaelectricbrewing.com/,", НПЗ Хаджи Димитър, ул. „Индустриална“ 11, 1202 София",,,София,бира магазин,
Cohones Brewery,,http://www.cohones.beer/,", НПЗ Хаджи Димитър, ул. „Кожарска“, 1202 София",,,София,бира магазин,
НОН СТОП,,,", София център, бул. „Cливница“ 289, 1202 София",,,София,нон стоп магазин,
Mix China,,,", София център, бул. „Княгиня Мария Луиза“ 56, 1202 София",,,София,смесен магазин,
Табако шоп,,,", София център, бул. „Стефан Стамболов“ 46, 1202 София",,,София,tobacco shop,
ДЕНОНОЩЕН МАГАЗИН,,,", София център, бул. „Христо Ботев“ 106, 1202 София",,,София,денонощен магазин,
Магазин за кафе и алкохол,,,", София център, ул. „Княз Борис I“ 198, 1202 София",,,София,вино магазин,
Arabic street,,,", София център, ул. „Цар Симеон“ 106А, 1202 София",,,София,смесен магазин,
Вагабонт,,https://ontap.bg/v/vagabond,", София център, ул. „Цар Симеон“ 78, 1202 София",,,София,магазин алкохол,
